id,season_type,two_way_winner,over_under_result,home_line_margin,over_under,home_total_last_4_pct,home_home_last_4_pct,away_total_last_6_pct,home_total_last_7_pct,away_away_last_9_pct,away_total_last_4_pct,away_total_last_5_pct,home_total_last_5_pct,away_total_last_3_pct,home_total_last_1_pct,home_home_last_9_pct,away_away_last_3_pct,away_away_last_2_pct,home_home_last_7_pct,away_away_last_5_pct,home_home_last_6_pct,away_total_last_10_pct,home_home_last_3_pct,away_away_last_8_pct,home_total_last_9_pct,home_total_last_8_pct,home_total_last_2_pct,away_total_last_9_pct,away_away_last_10_pct,home_total_last_3_pct,away_total_last_1_pct,home_home_last_1_pct,home_home_last_5_pct,away_total_last_7_pct,home_home_last_8_pct,away_total_last_2_pct,home_total_last_6_pct,away_total_last_8_pct,away_away_last_7_pct,home_home_last_2_pct,home_total_last_10_pct,away_away_last_1_pct,away_away_last_6_pct,home_home_last_10_pct,away_away_last_4_pct
270101022,2,away,,,,0.25,0.5,0.0,0.428571428571,0.444444444444,0.0,0.0,0.2,0.0,0.0,0.333333333333,0.0,0.0,0.428571428571,0.2,0.5,0.4,0.333333333333,0.5,0.555555555556,0.5,0.0,0.333333333333,0.4,0.333333333333,0.0,0.0,0.6,0.142857142857,0.375,0.0,0.333333333333,0.25,0.428571428571,0.5,0.6,0.0,0.333333333333,0.4,0.0
270101030,2,away,,,,0.5,0.5,0.5,0.428571428571,0.333333333333,0.5,0.6,0.4,0.333333333333,1.0,0.444444444444,0.333333333333,0.0,0.428571428571,0.2,0.5,0.4,0.666666666667,0.375,0.444444444444,0.375,1.0,0.333333333333,0.4,0.666666666667,0.0,1.0,0.6,0.428571428571,0.375,0.5,0.5,0.375,0.428571428571,0.5,0.4,0.0,0.333333333333,0.4,0.25
270102003,2,away,,,,0.25,0.5,0.666666666667,0.285714285714,0.222222222222,0.5,0.6,0.2,0.666666666667,0.0,0.333333333333,0.333333333333,0.0,0.428571428571,0.4,0.5,0.5,0.666666666667,0.25,0.222222222222,0.25,0.5,0.444444444444,0.2,0.333333333333,0.0,1.0,0.4,0.571428571429,0.375,0.5,0.333333333333,0.5,0.285714285714,0.5,0.2,0.0,0.333333333333,0.4,0.5
270102005,2,home,,,,0.75,0.75,0.666666666667,0.428571428571,0.666666666667,0.75,0.6,0.6,0.666666666667,0.0,0.777777777778,1.0,1.0,0.857142857143,0.8,0.833333333333,0.8,0.666666666667,0.625,0.555555555556,0.5,0.5,0.777777777778,0.7,0.666666666667,1.0,1.0,0.8,0.714285714286,0.75,1.0,0.5,0.75,0.571428571429,1.0,0.5,1.0,0.666666666667,0.8,0.75
270102007,2,away,,,,0.5,0.5,0.5,0.571428571429,0.222222222222,0.25,0.4,0.4,0.333333333333,0.0,0.555555555556,0.333333333333,0.5,0.571428571429,0.4,0.666666666667,0.3,0.666666666667,0.25,0.444444444444,0.5,0.0,0.333333333333,0.2,0.333333333333,0.0,0.0,0.6,0.428571428571,0.625,0.5,0.5,0.375,0.285714285714,0.5,0.5,0.0,0.333333333333,0.6,0.25
270102019,2,home,,,,0.25,0.5,0.666666666667,0.428571428571,0.222222222222,0.75,0.8,0.2,1.0,1.0,0.444444444444,0.333333333333,0.5,0.428571428571,0.4,0.5,0.4,0.333333333333,0.25,0.333333333333,0.375,0.5,0.444444444444,0.2,0.333333333333,1.0,1.0,0.6,0.571428571429,0.5,1.0,0.333333333333,0.5,0.285714285714,0.5,0.3,0.0,0.333333333333,0.5,0.25
270102023,2,home,,,,0.75,0.5,0.5,0.428571428571,0.222222222222,0.25,0.4,0.6,0.333333333333,1.0,0.444444444444,0.0,0.0,0.428571428571,0.0,0.5,0.5,0.666666666667,0.25,0.444444444444,0.5,0.5,0.444444444444,0.3,0.666666666667,0.0,1.0,0.4,0.571428571429,0.375,0.0,0.5,0.5,0.142857142857,1.0,0.5,0.0,0.166666666667,0.5,0.0
270102004,2,away,,,,0.75,1.0,0.666666666667,0.714285714286,0.888888888889,0.75,0.6,0.8,0.666666666667,1.0,0.888888888889,0.666666666667,0.5,1.0,0.8,1.0,0.8,1.0,0.875,0.777777777778,0.75,1.0,0.777777777778,0.9,1.0,1.0,1.0,1.0,0.714285714286,0.875,1.0,0.666666666667,0.75,0.857142857143,1.0,0.8,1.0,0.833333333333,0.9,0.75
270102006,2,home,,,,1.0,1.0,0.5,1.0,0.111111111111,0.5,0.6,1.0,0.333333333333,1.0,0.888888888889,0.0,0.0,1.0,0.0,1.0,0.3,1.0,0.0,1.0,1.0,1.0,0.333333333333,0.1,1.0,1.0,1.0,1.0,0.428571428571,0.875,0.5,1.0,0.375,0.0,1.0,1.0,0.0,0.0,0.9,0.0
270103016,2,home,,,,0.5,0.5,0.5,0.571428571429,0.555555555556,0.5,0.6,0.6,0.666666666667,1.0,0.666666666667,0.666666666667,0.5,0.571428571429,0.6,0.666666666667,0.7,0.666666666667,0.5,0.444444444444,0.5,0.5,0.666666666667,0.6,0.666666666667,0.0,1.0,0.6,0.571428571429,0.625,0.5,0.666666666667,0.625,0.571428571429,1.0,0.4,0.0,0.666666666667,0.6,0.75
