id,season_type,two_way_winner,over_under_result,home_line_margin,over_under,home_fatigue,away_fatigue
310128020,2,away,,,,3,3
310128028,2,away,,,,3,3
310128001,2,home,,,,2,3
310128005,2,away,,,,3,3
310128014,2,home,,,,2,3
310128004,2,home,,,,2,3
310128025,2,home,,,,3,3
310128026,2,home,,,,3,2
310128009,2,away,,,,3,3
310128013,2,away,,,,1,2
310128021,2,home,,,,3,3
310129004,2,home,,,,2,3
310129016,2,home,,,,3,3
310129029,2,home,,,,3,3
310129006,2,home,,,,2,2
310129015,2,home,,,,3,3
310129024,2,home,,,,2,3
310129023,2,home,,,,3,2
310129012,2,home,,,,2,3
310130025,2,away,,,,3,2
310130013,2,away,,,,2,3
310130019,2,home,,,,3,3
310130020,2,home,,,,3,4
310130018,2,home,,,,3,3
310130021,2,home,,,,3,3
310130009,2,home,,,,3,3
310131011,2,home,,,,3,3
310131017,2,home,,,,3,4
310131014,2,home,,,,3,3
310131029,2,home,,,,3,3
310131006,2,home,,,,3,3
310131026,2,home,,,,4,4
310131012,2,home,,,,3,3
310201003,2,home,,,,3,3
310201022,2,home,,,,1,2
310201023,2,away,,,,2,3
310201013,2,home,,,,2,3
310202001,2,home,,,,2,3
310202005,2,away,,,,3,3
310202017,2,away,,,,3,2
310202008,2,away,,,,2,3
310202018,2,away,,,,3,3
310202016,2,away,,,,2,3
310202025,2,home,,,,2,3
310202007,2,home,,,,3,2
310202021,2,home,,,,2,3
310202026,2,away,,,,3,3
310202012,2,away,,,,2,2
310203019,2,away,,,,3,3
310203009,2,home,,,,2,4
310203013,2,away,,,,3,2
310204011,2,home,,,,3,2
310204020,2,home,,,,2,2
310204027,2,away,,,,3,3
310204028,2,home,,,,3,2
310204030,2,away,,,,3,3
310204001,2,home,,,,2,3
310204008,2,home,,,,2,3
310204002,2,away,,,,2,3
310204029,2,home,,,,3,3
310204021,2,away,,,,2,2
310204023,2,away,,,,2,3
310204007,2,away,,,,3,3
310205027,2,away,,,,3,2
310205030,2,away,,,,3,3
310205005,2,away,,,,3,3
310205003,2,away,,,,3,2
310205010,2,home,,,,2,3
310205015,2,away,,,,3,3
310205016,2,away,,,,2,3
310205026,2,away,,,,4,2
310205009,2,home,,,,2,1
310206014,2,home,,,,3,3
310206017,2,away,,,,3,3
310206018,2,home,,,,3,2
310206002,2,home,,,,2,3
310207030,2,home,,,,3,3
310207003,2,away,,,,3,3
310207029,2,away,,,,3,3
310207006,2,home,,,,3,3
310207007,2,away,,,,3,3
310207022,2,home,,,,4,2
310207023,2,away,,,,2,3
310207009,2,away,,,,2,2
310208001,2,away,,,,3,3
310208019,2,home,,,,3,3
310208008,2,away,,,,3,2
310208014,2,home,,,,3,3
310208015,2,home,,,,3,2
310208025,2,away,,,,3,4
310208010,2,away,,,,3,4
310209005,2,away,,,,3,3
310209011,2,home,,,,3,3
310209017,2,home,,,,2,2
310209020,2,away,,,,3,4
310209027,2,home,,,,2,3
310209028,2,away,,,,2,3
310209018,2,away,,,,2,3
310209026,2,away,,,,3,2
310209023,2,away,,,,2,3
310209009,2,home,,,,3,3
310210002,2,away,,,,3,2
310210021,2,home,,,,2,3
310210007,2,home,,,,4,4
310211011,2,home,,,,3,3
310211019,2,away,,,,3,3
310211020,2,home,,,,3,2
310211028,2,away,,,,2,2
310211030,2,away,,,,3,2
310211005,2,home,,,,3,3
310211008,2,away,,,,3,2
310211018,2,away,,,,2,3
310211029,2,home,,,,3,3
310211026,2,away,,,,3,2
310212001,2,away,,,,1,3
310212017,2,away,,,,2,2
310212003,2,away,,,,3,2
310212016,2,away,,,,3,3
310212027,2,away,,,,1,3
310212010,2,away,,,,2,3
310212015,2,away,,,,3,3
310212023,2,away,,,,2,1
310213002,2,home,,,,2,2
310213019,2,home,,,,3,3
310213005,2,away,,,,3,1
310213008,2,away,,,,3,2
310213028,2,home,,,,3,3
310213029,2,home,,,,3,3
310213009,2,home,,,,3,2
310213021,2,away,,,,3,3
310214017,2,away,,,,3,4
310214030,2,home,,,,3,3
310214008,2,away,,,,4,2
310214015,2,home,,,,4,4
310214016,2,away,,,,3,2
310214010,2,home,,,,2,3
310215011,2,away,,,,3,2
310215004,2,home,,,,2,4
310215025,2,home,,,,2,3
310215029,2,home,,,,2,3
310215021,2,home,,,,3,2
310215009,2,home,,,,3,3
310216019,2,home,,,,2,2
310216028,2,away,,,,2,3
310216002,2,home,,,,2,3
310216005,2,home,,,,2,4
310216008,2,home,,,,3,3
310216018,2,home,,,,2,2
310216016,2,away,,,,3,3
310216006,2,home,,,,2,3
310216010,2,away,,,,2,3
310216015,2,away,,,,3,3
310216026,2,away,,,,2,3
310216022,2,home,,,,3,3
310217004,2,home,,,,2,3
310217021,2,away,,,,3,2
310220032,2,home,,,,0,0
310222027,2,away,,,,1,1
310222030,2,home,,,,0,1
310222008,2,away,,,,1,1
310222014,2,home,,,,1,1
310222015,2,home,,,,1,1
310222025,2,home,,,,0,1
310222007,2,home,,,,1,0
310222009,2,away,,,,1,1
310222013,2,home,,,,1,1
310223005,2,away,,,,0,1
310223011,2,home,,,,1,1
310223019,2,away,,,,0,1
310223020,2,home,,,,0,1
310223024,2,home,,,,1,1
310223028,2,home,,,,1,1
310223018,2,home,,,,0,1
310223016,2,away,,,,1,1
310223006,2,home,,,,1,0
310223021,2,home,,,,1,1
310223003,2,home,,,,0,1
310223022,2,away,,,,0,1
310224004,2,home,,,,1,1
310224007,2,home,,,,1,1
310225011,2,away,,,,2,1
310225020,2,home,,,,1,2
310225028,2,away,,,,2,1
310225030,2,home,,,,1,2
310225005,2,home,,,,1,1
310225014,2,home,,,,2,2
310225016,2,away,,,,2,1
310225019,2,home,,,,1,2
310225024,2,home,,,,1,0
310225009,2,away,,,,1,2
310225013,2,home,,,,2,2
310225022,2,home,,,,1,2
310226008,2,home,,,,3,2
310226027,2,away,,,,3,1
310226029,2,home,,,,2,3
310226010,2,home,,,,2,1
310226015,2,away,,,,2,2
310226012,2,away,,,,3,2
310227011,2,away,,,,3,2
310227025,2,away,,,,3,3
310227005,2,away,,,,2,2
310227016,2,home,,,,3,2
310227019,2,home,,,,2,2
310227028,2,away,,,,3,1
310227003,2,away,,,,2,3
310227024,2,home,,,,2,3
310227014,2,away,,,,3,2
310227022,2,away,,,,2,3
310228017,2,away,,,,2,3
310228027,2,away,,,,4,3
310228007,2,home,,,,3,4
310228026,2,away,,,,3,3
310228023,2,home,,,,4,4
310301011,2,home,,,,3,2
310301019,2,home,,,,3,3
310301020,2,away,,,,3,3
310301028,2,home,,,,3,3
310301015,2,home,,,,2,3
310301016,2,away,,,,3,3
310301029,2,home,,,,3,3
310301022,2,away,,,,3,3
310302001,2,home,,,,3,3
310302005,2,away,,,,2,3
310302027,2,away,,,,3,3
310302002,2,home,,,,3,3
310302008,2,away,,,,3,3
310302018,2,home,,,,3,3
310302025,2,home,,,,2,3
310302007,2,home,,,,3,2
310302023,2,away,,,,3,3
310302012,2,home,,,,3,3
310303014,2,away,,,,2,3
310303026,2,away,,,,3,3
310304017,2,home,,,,3,3
310304019,2,away,,,,3,3
310304020,2,home,,,,2,3
310304001,2,away,,,,3,2
310304002,2,home,,,,3,3
310304018,2,away,,,,3,2
310304029,2,away,,,,3,3
310304006,2,home,,,,3,3
310304015,2,away,,,,2,3
310304024,2,home,,,,3,2
310304013,2,home,,,,2,2
310305017,2,home,,,,3,3
310305027,2,home,,,,2,3
310305010,2,home,,,,3,3
310305026,2,home,,,,2,2
310305022,2,home,,,,3,2
310305012,2,home,,,,2,3
310306014,2,away,,,,3,3
310306024,2,away,,,,4,2
310306008,2,home,,,,2,2
310306020,2,home,,,,2,3
310306001,2,away,,,,4,4
310306005,2,away,,,,2,4
310306025,2,home,,,,2,3
310306006,2,away,,,,2,2
310306015,2,away,,,,2,3
310307019,2,away,,,,3,3
310307030,2,away,,,,3,2
310307018,2,home,,,,4,2
310307004,2,home,,,,3,4
310307016,2,away,,,,4,3
310307029,2,home,,,,3,3
310307023,2,away,,,,2,3
310308001,2,away,,,,3,2
310308005,2,away,,,,3,3
310308011,2,away,,,,3,2
310308027,2,away,,,,3,2
310308014,2,away,,,,3,3
310308021,2,home,,,,3,3
310309017,2,home,,,,2,3
310309020,2,away,,,,3,3
310309028,2,away,,,,2,3
310309030,2,away,,,,3,3
310309002,2,away,,,,2,2
310309003,2,home,,,,3,3
310309015,2,home,,,,3,3
310309016,2,home,,,,3,3
310309029,2,away,,,,3,3
310309024,2,home,,,,2,1
310309023,2,away,,,,2,3
310310014,2,home,,,,3,3
310310006,2,home,,,,4,4
310310021,2,away,,,,3,1
310311017,2,home,,,,1,3
310311020,2,home,,,,3,2
310311028,2,home,,,,1,3
310311030,2,home,,,,3,3
310311004,2,home,,,,3,2
310311016,2,home,,,,3,3
310311025,2,home,,,,3,2
310311024,2,home,,,,2,3
310311009,2,home,,,,3,2
310312014,2,home,,,,3,3
310312001,2,home,,,,2,3
310312027,2,away,,,,1,3
310312003,2,home,,,,2,3
310312004,2,home,,,,3,3
310312015,2,home,,,,3,3
310312010,2,away,,,,2,2
310312006,2,away,,,,4,2
310312007,2,home,,,,1,2
310313005,2,away,,,,2,4
310313028,2,away,,,,2,3
310313021,2,away,,,,3,3
310313002,2,home,,,,3,3
310313018,2,away,,,,3,3
310313009,2,home,,,,3,3
310314017,2,home,,,,2,3
310314027,2,away,,,,2,4
310314003,2,away,,,,2,2
310314014,2,home,,,,3,3
310314029,2,home,,,,2,3
310314010,2,home,,,,2,3
310314026,2,home,,,,3,4
310314023,2,home,,,,3,4
310314013,2,home,,,,3,3
310315001,2,home,,,,3,4
310315011,2,home,,,,4,3
310315004,2,home,,,,3,2
310315022,2,home,,,,2,3
310316001,2,away,,,,3,3
310316002,2,home,,,,4,4
310316008,2,home,,,,3,3
310316003,2,home,,,,2,3
310316014,2,away,,,,3,3
310316015,2,away,,,,3,3
310316010,2,home,,,,2,2
310316026,2,home,,,,3,2
310316023,2,away,,,,3,1
310316009,2,away,,,,3,3
310316012,2,away,,,,3,3
310317017,2,away,,,,2,3
310317018,2,home,,,,3,2
310317022,2,home,,,,3,2
310318011,2,home,,,,4,4
310318019,2,home,,,,4,3
310318028,2,home,,,,3,3
310318001,2,away,,,,4,3
310318008,2,home,,,,3,3
310318025,2,home,,,,3,2
310318006,2,away,,,,3,2
310318010,2,home,,,,3,3
310318015,2,home,,,,4,2
310318021,2,home,,,,3,3
310318023,2,away,,,,3,3
310318013,2,home,,,,2,2
310319012,2,home,,,,3,3
310319014,2,home,,,,3,4
310319003,2,away,,,,2,3
310319029,2,home,,,,2,3
310319024,2,home,,,,2,2
310319022,2,home,,,,2,3
310320027,2,home,,,,3,3
310320001,2,home,,,,3,2
310320015,2,home,,,,3,3
310320012,2,away,,,,3,3
310320016,2,away,,,,3,3
310320010,2,home,,,,3,2
310320025,2,away,,,,3,2
310320006,2,home,,,,3,4
310320013,2,home,,,,2,3
310321005,2,away,,,,3,3
310321017,2,away,,,,3,4
310321018,2,away,,,,4,3
310321004,2,home,,,,3,3
310321029,2,home,,,,2,2
310321024,2,home,,,,2,3
310321007,2,home,,,,3,3
310322001,2,away,,,,2,3
310322022,2,home,,,,3,2
310322013,2,home,,,,2,3
310323005,2,away,,,,4,4
310323020,2,home,,,,3,2
310323030,2,away,,,,3,3
310323002,2,away,,,,3,3
310323008,2,away,,,,2,3
310323015,2,away,,,,2,3
310323018,2,away,,,,3,2
310323025,2,home,,,,2,2
310323010,2,home,,,,2,3
310323021,2,home,,,,3,3
310323007,2,home,,,,3,3
310323012,2,home,,,,2,3
310324006,2,home,,,,2,2
310324026,2,away,,,,3,1
310325011,2,away,,,,3,4
310325019,2,home,,,,2,4
310325002,2,away,,,,4,3
310325005,2,home,,,,3,2
310325014,2,home,,,,2,3
310325018,2,away,,,,3,3
310325004,2,home,,,,2,3
310325025,2,home,,,,2,2
310325007,2,home,,,,2,3
310325021,2,away,,,,3,2
310325022,2,home,,,,3,3
310325009,2,home,,,,3,3
310325013,2,home,,,,2,2
310326001,2,home,,,,3,4
310326030,2,home,,,,3,4
310326008,2,home,,,,3,4
310326015,2,away,,,,2,3
310326026,2,away,,,,3,1
310326012,2,home,,,,2,3
310327020,2,away,,,,2,3
310327005,2,away,,,,3,3
310327014,2,home,,,,2,1
310327029,2,home,,,,3,3
310327016,2,away,,,,2,3
310327025,2,home,,,,2,2
310327009,2,home,,,,3,3
310327013,2,home,,,,2,2
310327021,2,away,,,,3,2
310328011,2,home,,,,3,3
310328030,2,home,,,,3,3
310328018,2,home,,,,3,2
310328004,2,away,,,,3,3
310328024,2,away,,,,3,3
310328026,2,away,,,,3,4
310329005,2,home,,,,3,3
310329017,2,away,,,,3,2
310329025,2,home,,,,3,3
310329023,2,home,,,,3,3
310330001,2,home,,,,2,3
310330011,2,home,,,,3,2
310330020,2,home,,,,3,3
310330027,2,away,,,,4,3
310330028,2,away,,,,3,4
310330030,2,home,,,,3,3
310330018,2,home,,,,4,3
310330003,2,home,,,,3,3
310330016,2,away,,,,3,3
310330029,2,home,,,,2,3
310330007,2,home,,,,1,3
310330021,2,away,,,,3,3
310330012,2,away,,,,2,3
310331024,2,away,,,,3,2
310331013,2,home,,,,2,3
310401011,2,home,,,,3,3
310401019,2,home,,,,2,3
310401020,2,home,,,,3,3
310401027,2,home,,,,4,3
310401008,2,away,,,,2,4
310401001,2,home,,,,2,3
310401003,2,away,,,,2,2
310401016,2,away,,,,2,3
310401010,2,home,,,,3,3
310401021,2,home,,,,3,2
310401022,2,home,,,,3,3
310401023,2,away,,,,3,1
310401026,2,away,,,,2,2
310402004,2,home,,,,3,1
310402029,2,home,,,,2,2
310402015,2,home,,,,3,3
310402009,2,home,,,,3,3
310402012,2,home,,,,2,4
310403024,2,home,,,,3,4
310403013,2,away,,,,3,2
310403002,2,home,,,,3,2
310403017,2,away,,,,3,3
310403018,2,home,,,,2,3
310403023,2,home,,,,3,2
310403028,2,home,,,,1,3
310403030,2,away,,,,3,4
310403003,2,home,,,,3,3
310403010,2,home,,,,3,2
310403022,2,home,,,,3,3
310405001,2,away,,,,3,3
310405005,2,home,,,,3,3
310405017,2,home,,,,3,3
310405019,2,home,,,,3,3
310405027,2,home,,,,3,3
310405002,2,home,,,,3,3
310405018,2,home,,,,2,3
310405004,2,home,,,,3,3
310405029,2,away,,,,3,3
310405010,2,away,,,,2,3
310405007,2,away,,,,3,3
310405022,2,away,,,,3,2
310405013,2,away,,,,3,2
310406011,2,home,,,,2,3
310406020,2,away,,,,3,2
310406028,2,away,,,,3,3
310406030,2,away,,,,3,3
310406008,2,home,,,,3,3
310406003,2,home,,,,2,3
310406014,2,away,,,,2,3
310406016,2,away,,,,3,3
310406025,2,home,,,,3,3
310406006,2,away,,,,3,3
310406024,2,home,,,,4,3
310406009,2,home,,,,2,4
310407004,2,home,,,,2,3
310407026,2,away,,,,3,3
310408011,2,home,,,,2,3
310408017,2,away,,,,3,3
310408020,2,home,,,,3,4
310408002,2,home,,,,3,3
310408005,2,away,,,,3,2
310408008,2,home,,,,3,3
310408014,2,home,,,,3,3
310408003,2,home,,,,2,3
310408025,2,home,,,,3,3
310408029,2,home,,,,2,3
310408006,2,home,,,,3,3
310408022,2,home,,,,3,3
310409027,2,home,,,,4,3
310409010,2,home,,,,2,3
310409015,2,home,,,,3,3
310409024,2,home,,,,2,2
310409007,2,home,,,,3,2
310410019,2,away,,,,2,3
310410014,2,home,,,,2,3
310410028,2,home,,,,3,3
310410029,2,home,,,,2,2
310410030,2,away,,,,3,3
310410011,2,away,,,,2,3
310410006,2,home,,,,3,3
310410009,2,away,,,,2,3
310410013,2,away,,,,3,3
310411001,2,away,,,,3,3
310411017,2,away,,,,4,4
310411020,2,away,,,,3,3
310411027,2,home,,,,4,4
310411008,2,away,,,,4,4
310411003,2,away,,,,3,3
310411015,2,home,,,,3,3
310411010,2,away,,,,3,3
310411007,2,home,,,,4,3
310411021,2,home,,,,4,2
310411023,2,away,,,,4,4
310412018,2,away,,,,2,3
310412022,2,home,,,,2,2
310412013,2,home,,,,3,2
310413002,2,home,,,,4,3
310413004,2,home,,,,4,3
310413005,2,home,,,,3,3
310413006,2,home,,,,3,3
310413016,2,away,,,,2,2
310413019,2,home,,,,2,2
310413020,2,away,,,,2,3
310413025,2,away,,,,3,3
310413026,2,home,,,,3,3
310413028,2,away,,,,3,3
310413030,2,home,,,,3,3
310413009,2,home,,,,2,3
310413012,2,home,,,,2,3
310413021,2,home,,,,3,2
310413023,2,away,,,,3,3
310416004,3,home,,,,3,2
310416014,3,home,,,,3,2
310416019,3,away,,,,3,2
310416006,3,home,,,,2,2
310417024,3,away,,,,2,2
310417013,3,away,,,,3,2
310417002,3,home,,,,2,2
310417025,3,home,,,,2,2
310418014,3,home,,,,2,2
310418004,3,home,,,,3,2
310419002,3,home,,,,2,3
310419019,3,home,,,,2,2
310419006,3,home,,,,2,2
310420025,3,home,,,,1,1
310420024,3,home,,,,1,1
310420013,3,home,,,,1,1
310421011,3,away,,,,2,2
310421020,3,away,,,,2,2
310421022,3,home,,,,2,2
310422018,3,away,,,,2,2
310422001,3,home,,,,1,1
310422003,3,away,,,,2,2
310423011,3,home,,,,2,2
310423022,3,home,,,,3,3
310423029,3,home,,,,2,2
310423007,3,away,,,,2,2
310424020,3,home,,,,2,2
310424018,3,away,,,,2,2
310424001,3,home,,,,2,2
310424003,3,home,,,,2,2
310425029,3,home,,,,2,2
310425006,3,home,,,,3,3
310425007,3,home,,,,2,2
310426019,3,home,,,,2,2
310426004,3,home,,,,2,2
310426013,3,home,,,,3,3
310427014,3,home,,,,2,2
310427024,3,home,,,,2,2
310427025,3,home,,,,2,2
310428001,3,home,,,,3,3
310428003,3,away,,,,3,3
310428022,3,away,,,,2,2
310429029,3,home,,,,2,2
310501025,3,away,,,,2,3
310501014,3,home,,,,1,0
310502004,3,away,,,,1,1
310502013,3,away,,,,2,1
310503014,3,home,,,,2,1
310503025,3,home,,,,2,3
310504004,3,home,,,,1,1
310504013,3,away,,,,2,2
310506001,3,away,,,,2,2
310506006,3,home,,,,2,2
310507029,3,home,,,,2,2
310507002,3,home,,,,1,1
310508006,3,home,,,,3,3
310508001,3,home,,,,3,3
310509002,3,away,,,,2,2
310509029,3,away,,,,2,2
310510004,3,home,,,,3,3
310511014,3,home,,,,2,2
310511025,3,home,,,,2,2
310512001,3,away,,,,2,2
310513029,3,home,,,,2,2
310515025,3,home,,,,3,3
310515004,3,home,,,,2,1
310517006,3,home,,,,0,3
310518004,3,away,,,,2,1
310519006,3,away,,,,1,3
310521025,3,away,,,,2,2
310522014,3,home,,,,1,1
310523025,3,away,,,,3,3
310524014,3,home,,,,2,2
310525006,3,home,,,,3,3
310526004,3,away,,,,2,2
310531014,3,home,,,,1,1
310602014,3,away,,,,1,1
310605006,3,away,,,,2,2
310607006,3,home,,,,2,2
310609006,3,home,,,,2,2
310612014,3,away,,,,2,2
311216011,1,away,,,,0,0
311216027,1,away,,,,0,0
311216008,1,away,,,,0,0
311216029,1,away,,,,0,0
311217017,1,away,,,,0,0
311217010,1,home,,,,0,0
311217016,1,home,,,,0,0
311217009,1,home,,,,0,0
311218028,1,away,,,,0,0
311218014,1,home,,,,0,0
311218006,1,away,,,,0,0
311219030,1,home,,,,0,0
311219022,1,home,,,,0,0
311219013,1,away,,,,0,0
311220005,1,away,,,,1,1
311220020,1,home,,,,1,1
311220004,1,home,,,,1,1
311220025,1,home,,,,1,1
311220007,1,home,,,,0,0
311220023,1,home,,,,1,1
311221019,1,home,,,,1,1
311221002,1,home,,,,1,1
311221018,1,home,,,,1,1
311221003,1,home,,,,1,1
311221015,1,away,,,,1,1
311221024,1,home,,,,1,1
311221026,1,home,,,,1,1
311221012,1,home,,,,1,1
311222001,1,home,,,,1,1
311222021,1,away,,,,1,1
311225018,2,home,,,,1,1
311225006,2,away,,,,2,1
311225013,2,away,,,,2,1
311225025,2,home,,,,1,1
311225009,2,away,,,,1,2
311226005,2,away,,,,1,1
311226011,2,home,,,,1,1
311226019,2,home,,,,2,1
311226027,2,away,,,,1,1
311226030,2,home,,,,1,1
311226016,2,away,,,,1,2
311226006,2,away,,,,2,2
311226024,2,home,,,,1,1
311226021,2,away,,,,2,1
311226022,2,home,,,,1,1
311226023,2,home,,,,1,2
311226009,2,home,,,,2,2
311227017,2,away,,,,2,1
311227014,2,home,,,,2,2
311227015,2,home,,,,2,2
311227022,2,home,,,,2,1
311227013,2,home,,,,3,1
311228028,2,away,,,,2,1
311228030,2,away,,,,2,2
311228001,2,home,,,,2,1
311228008,2,away,,,,1,1
311228003,2,home,,,,1,2
311228029,2,away,,,,1,2
311228024,2,home,,,,1,1
311228007,2,home,,,,2,1
311228021,2,away,,,,2,1
311228009,2,home,,,,2,1
311229019,2,home,,,,2,2
311229010,2,home,,,,1,2
311229025,2,home,,,,3,2
311229022,2,home,,,,2,2
311229023,2,away,,,,2,2
311229013,2,home,,,,3,2
311230011,2,home,,,,2,2
311230030,2,away,,,,2,3
311230001,2,home,,,,2,3
311230002,2,home,,,,3,2
311230003,2,away,,,,2,2
311230016,2,away,,,,2,3
311230029,2,home,,,,2,2
311230006,2,home,,,,3,2
311230015,2,home,,,,2,2
311230026,2,home,,,,2,2
311230012,2,away,,,,2,3
311231013,2,home,,,,4,3
311231008,2,home,,,,2,2
311231010,2,home,,,,3,3
311231023,2,away,,,,3,2
311231025,2,home,,,,4,3
311231024,2,home,,,,3,3
311231009,2,away,,,,3,3
