id,season_type,home_line_margin,over_under,two_way_winner,over_under_result,away_away_strk,home_home_strk,away_total_strk,home_total_strk
290102019,2,,,home,,-1,8,1,1
290102028,2,,,home,,-2,-4,1,-3
290102002,2,,,home,,-1,12,-1,-1
290102005,2,,,home,,1,16,-1,-1
290102017,2,,,home,,2,-4,6,-2
290102018,2,,,away,,-1,-3,-4,1
290102008,2,,,home,,-8,4,1,5
290102016,2,,,home,,-4,1,-1,-1
290102025,2,,,away,,1,1,1,1
290102029,2,,,away,,1,-1,-1,-3
290102006,2,,,home,,1,2,1,2
290102015,2,,,home,,2,-1,-2,-1
290102021,2,,,home,,-2,-1,-5,2
290102022,2,,,away,,1,2,3,2
290102013,2,,,home,,-3,13,1,4
290103011,2,,,home,,-9,-4,-1,1
290103001,2,,,home,,-3,5,-1,-1
290103030,2,,,home,,-1,-2,1,-3
290103014,2,,,home,,-1,4,1,-1
290103004,2,,,away,,-1,-1,1,-2
290103024,2,,,home,,-1,-1,-1,1
290103007,2,,,home,,2,2,4,2
290104028,2,,,home,,1,1,2,1
290104027,2,,,home,,-1,1,1,-2
290104012,2,,,away,,1,-3,6,-6
290104029,2,,,home,,1,-2,3,-4
290104018,2,,,home,,-1,-4,1,-1
290104013,2,,,home,,-2,14,-1,5
290105014,2,,,away,,2,5,2,1
290105017,2,,,home,,-10,1,-2,-1
290105015,2,,,home,,-2,1,2,-1
290105007,2,,,home,,1,3,2,3
290105026,2,,,home,,-5,2,-2,-1
290106019,2,,,home,,-2,9,1,-1
290106020,2,,,home,,-4,-1,-2,-2
290106030,2,,,home,,-2,1,-1,1
290106025,2,,,home,,1,-1,1,-1
290106029,2,,,away,,1,1,2,1
290106004,2,,,home,,-11,-2,-3,-3
290106006,2,,,home,,-3,3,-7,-1
290106013,2,,,away,,-1,15,-1,6
290107001,2,,,away,,-1,6,1,1
290107005,2,,,home,,-1,17,2,-1
290107027,2,,,away,,-3,2,-1,-1
290107002,2,,,away,,-5,13,-3,-2
290107017,2,,,home,,-3,2,-1,1
290107015,2,,,away,,-2,2,1,1
290107016,2,,,home,,-8,2,1,3
290107007,2,,,home,,-2,4,-1,4
290107021,2,,,away,,-1,1,-1,3
290107026,2,,,home,,1,3,1,1
290107022,2,,,home,,2,-1,7,-2
290107009,2,,,away,,2,2,-1,-3
290108006,2,,,home,,-1,4,-1,1
290108024,2,,,home,,-4,1,-8,3
290109019,2,,,home,,-1,10,-1,2
290109020,2,,,home,,-2,1,-1,2
290109028,2,,,home,,-4,2,-2,1
290109003,2,,,home,,-5,2,-9,-1
290109005,2,,,home,,-3,18,-3,1
290109025,2,,,away,,1,1,1,-1
290109004,2,,,home,,-3,1,-2,1
290109015,2,,,home,,-2,-1,2,-1
290109007,2,,,away,,-1,5,-1,5
290109023,2,,,away,,-3,1,-2,-4
290109013,2,,,home,,1,-1,1,1
290109021,2,,,home,,-1,-1,2,-1
290110027,2,,,away,,-3,-1,-2,-3
290110016,2,,,home,,-2,3,1,4
290110004,2,,,away,,-9,2,-2,2
290110010,2,,,home,,-2,1,-2,2
290110026,2,,,home,,1,4,1,2
290110022,2,,,home,,-6,1,-4,1
290111028,2,,,away,,-4,3,-4,2
290111001,2,,,away,,1,-1,3,-2
290111012,2,,,away,,2,-4,1,-10
290111024,2,,,away,,1,2,3,4
290111009,2,,,home,,-1,-1,-1,-5
290111023,2,,,home,,-2,-1,-1,-5
290111013,2,,,home,,1,1,1,2
290112027,2,,,away,,-3,-2,-1,-4
290112002,2,,,home,,1,-1,-1,1
290112017,2,,,home,,1,3,1,-1
290112003,2,,,away,,-3,3,-3,1
290112004,2,,,away,,-3,-1,2,-1
290112026,2,,,home,,-2,5,-2,3
290113008,2,,,away,,1,5,1,-1
290113016,2,,,away,,-1,4,-1,5
290113029,2,,,away,,-2,-1,2,-3
290113010,2,,,away,,3,2,3,3
290113007,2,,,home,,-3,-1,-2,-1
290113021,2,,,home,,-2,1,-3,2
290113023,2,,,away,,2,1,4,1
290114011,2,,,home,,-1,1,-2,-3
290114020,2,,,home,,1,2,3,4
290114028,2,,,away,,-1,-1,-2,-2
290114002,2,,,home,,-3,1,1,2
290114018,2,,,home,,-4,1,-5,1
290114015,2,,,away,,1,1,1,1
290114025,2,,,home,,-4,-1,4,-1
290114006,2,,,away,,-1,5,-1,-3
290114024,2,,,home,,4,-1,4,-1
290114009,2,,,away,,-12,1,-1,1
290114012,2,,,away,,-3,-5,-4,-11
290115017,2,,,away,,-1,4,-1,-1
290115004,2,,,home,,1,-2,3,1
290115007,2,,,home,,3,1,3,1
290116011,2,,,home,,-1,2,-3,1
290116020,2,,,home,,3,3,1,5
290116027,2,,,home,,1,-3,2,-6
290116005,2,,,home,,1,19,1,-1
290116025,2,,,home,,-2,1,-3,1
290116029,2,,,away,,-5,-2,-1,-4
290116021,2,,,away,,2,2,-1,-1
290116023,2,,,away,,1,-1,-1,1
290116009,2,,,home,,1,-1,1,-1
290116013,2,,,away,,3,2,5,-1
290117017,2,,,away,,1,-1,3,-2
290117030,2,,,home,,1,2,1,2
290117008,2,,,away,,-1,-1,-1,-4
290117018,2,,,away,,2,2,6,-1
290117004,2,,,away,,-1,1,-1,2
290117010,2,,,home,,2,-1,2,-1
290117006,2,,,home,,1,-1,1,-4
290117007,2,,,away,,4,2,6,2
290117012,2,,,home,,2,-6,1,-12
290118028,2,,,away,,-1,-2,-2,-4
290118025,2,,,away,,-1,2,-1,2
290119018,2,,,home,,1,-1,-1,-2
290119020,2,,,away,,-4,4,1,7
290119001,2,,,home,,-2,-2,-5,-1
290119010,2,,,home,,2,1,-1,1
290119030,2,,,away,,1,3,1,3
290119003,2,,,home,,-3,-1,2,1
290119012,2,,,away,,3,1,1,1
290119009,2,,,home,,-5,1,1,1
290119029,2,,,away,,-3,-3,-5,-5
290119002,2,,,home,,1,2,1,4
290119022,2,,,home,,-1,2,-1,-1
290119013,2,,,home,,-1,-1,1,-2
290120004,2,,,away,,-1,-1,1,-2
290120024,2,,,home,,-4,1,-1,2
290120007,2,,,home,,1,-1,-1,-2
290120026,2,,,home,,4,6,2,-1
290121030,2,,,home,,-5,-1,-6,-1
290121008,2,,,home,,-3,-2,-6,1
290121014,2,,,away,,2,-1,5,1
290121018,2,,,home,,-1,1,-1,1
290121003,2,,,home,,-4,1,-3,2
290121015,2,,,home,,1,-1,2,-2
290121010,2,,,home,,-1,2,1,2
290121022,2,,,away,,-2,3,-1,1
290121023,2,,,away,,-6,-2,-1,-2
290121009,2,,,away,,-1,2,-1,2
290121012,2,,,away,,-1,-1,1,-1
290122019,2,,,away,,3,11,6,7
290122013,2,,,home,,1,1,1,2
290123008,2,,,away,,-1,1,-1,2
290123011,2,,,home,,2,3,3,-2
290123030,2,,,home,,-2,1,-2,1
290123001,2,,,home,,-2,1,1,2
290123018,2,,,home,,-6,2,-7,2
290123016,2,,,home,,1,-1,3,-1
290123004,2,,,away,,-4,-2,-7,-3
290123024,2,,,home,,-5,2,-4,3
290123009,2,,,away,,1,-1,1,-1
290123012,2,,,home,,1,-2,1,-2
290124020,2,,,home,,-1,-1,3,-1
290124014,2,,,home,,5,-2,-1,-1
290124029,2,,,away,,-6,-4,-5,-8
290124015,2,,,home,,-1,1,-3,-1
290124026,2,,,away,,2,7,2,-1
290124022,2,,,home,,-1,-1,-1,-1
290125002,2,,,home,,1,3,1,7
290125013,2,,,home,,2,2,4,3
290125001,2,,,away,,-3,2,-3,3
290125028,2,,,home,,-2,-3,-4,1
290125008,2,,,away,,-1,-1,-1,-1
290125011,2,,,home,,2,4,2,1
290125016,2,,,home,,-1,1,-4,1
290125007,2,,,home,,-2,1,-2,1
290125009,2,,,home,,-6,-2,1,-2
290126027,2,,,away,,1,1,1,-2
290126014,2,,,home,,1,1,-1,1
290126018,2,,,home,,1,3,1,-1
290126003,2,,,home,,3,2,1,-1
290126015,2,,,away,,-1,2,2,1
290126025,2,,,home,,1,-1,1,-1
290126012,2,,,away,,-1,1,1,-1
290127005,2,,,home,,-3,20,-5,3
290127019,2,,,home,,-5,-1,2,-2
290127029,2,,,away,,-1,-5,2,-9
290127026,2,,,away,,-1,-1,-1,-3
290127013,2,,,away,,-1,3,-1,4
290128011,2,,,home,,-3,5,-1,-1
290128002,2,,,home,,-4,4,-6,8
290128014,2,,,home,,-2,2,-3,2
290128017,2,,,away,,1,-2,2,-1
290128018,2,,,home,,-1,4,-2,1
290128003,2,,,home,,1,3,3,1
290128016,2,,,away,,1,2,-2,3
290128025,2,,,home,,-7,1,-10,1
290128010,2,,,away,,-1,3,-1,-1
290128006,2,,,home,,-7,1,1,-1
290128022,2,,,home,,1,1,1,2
290128012,2,,,away,,-2,-1,-5,-2
290129019,2,,,home,,3,1,4,1
290129021,2,,,away,,1,-1,1,2
290130008,2,,,away,,4,-2,9,1
290130011,2,,,home,,1,6,3,1
290130020,2,,,home,,-3,1,-4,1
290130028,2,,,away,,-4,1,-2,3
290130001,2,,,home,,-1,-1,-2,-3
290130005,2,,,home,,-7,21,-3,-1
290130016,2,,,away,,1,-1,-1,-1
290130007,2,,,home,,-1,2,-1,-1
290130026,2,,,home,,-1,-2,2,-4
290130003,2,,,away,,-8,4,-1,2
290130023,2,,,away,,1,-3,1,-7
290131011,2,,,away,,-2,7,2,2
290131020,2,,,away,,-2,2,-3,2
290131014,2,,,away,,-1,3,1,-1
290131027,2,,,home,,-8,-1,-4,-5
290131029,2,,,away,,2,-6,1,-11
290131010,2,,,home,,1,-1,1,-2
290131015,2,,,home,,-2,-1,1,1
290131024,2,,,home,,-1,3,-1,2
290131021,2,,,away,,2,-2,2,-1
290131022,2,,,home,,-3,2,1,3
290201002,2,,,home,,1,5,-2,10
290201028,2,,,away,,-1,-1,2,-1
290201008,2,,,away,,-1,-3,1,-1
290201023,2,,,home,,-2,-4,-1,-8
290202019,2,,,away,,1,2,2,3
290202027,2,,,away,,-8,1,-12,1
290202014,2,,,home,,-9,-1,-5,-2
290202018,2,,,away,,3,5,2,3
290202003,2,,,away,,1,-1,4,-2
290202021,2,,,home,,-5,-3,1,-2
290202026,2,,,home,,-2,1,-2,-1
290202009,2,,,away,,2,1,3,-1
290203005,2,,,home,,2,22,-2,2
290203011,2,,,away,,-1,-1,-3,-1
290203020,2,,,away,,5,-1,11,-1
290203017,2,,,home,,1,-3,2,1
290203010,2,,,home,,3,1,3,1
290203007,2,,,home,,3,3,4,1
290204019,2,,,home,,-10,-1,-6,-1
290204027,2,,,away,,1,-1,2,-1
290204028,2,,,away,,4,-2,3,-3
290204008,2,,,home,,-1,-4,1,-2
290204018,2,,,away,,1,-1,3,-1
290204003,2,,,away,,-1,-2,-1,-3
290204016,2,,,away,,-3,-2,-1,1
290204025,2,,,away,,-1,2,2,-2
290204029,2,,,home,,-1,-7,2,1
290204006,2,,,home,,2,2,5,3
290204009,2,,,home,,2,-1,1,-2
290205020,2,,,home,,-6,-2,-2,-2
290205002,2,,,away,,5,6,4,12
290205026,2,,,home,,2,2,4,1
290206011,2,,,home,,1,-2,1,-3
290206030,2,,,away,,1,2,1,-3
290206018,2,,,away,,6,-2,-1,-2
290206003,2,,,home,,-1,-3,-4,-4
290206025,2,,,home,,-1,-1,-1,-3
290206027,2,,,away,,1,-2,3,-2
290206029,2,,,away,,-11,1,-7,2
290206023,2,,,away,,-4,1,2,-1
290206021,2,,,home,,-1,1,1,-1
290207001,2,,,away,,1,1,1,2
290207020,2,,,home,,-2,1,-1,1
290207017,2,,,home,,2,1,4,3
290207029,2,,,home,,-2,-1,-5,-1
290207006,2,,,home,,1,3,1,-1
290207010,2,,,home,,1,2,-1,-1
290207015,2,,,away,,2,1,1,-1
290208002,2,,,away,,-1,-1,-1,1
290208005,2,,,away,,6,23,5,4
290208014,2,,,home,,-3,1,-4,-2
290208019,2,,,home,,2,1,4,-1
290208022,2,,,home,,1,3,-3,-2
290208027,2,,,home,,-7,-3,1,-3
290208003,2,,,home,,-1,1,-2,1
290208025,2,,,home,,-6,1,-2,1
290208008,2,,,away,,-1,1,1,2
290208009,2,,,home,,1,1,3,-1
290209020,2,,,home,,1,2,2,2
290209030,2,,,home,,2,-1,2,-5
